data_format,development_key,status,year_completed,street_address,property_id,floors_above,town_planning_application,longitude,latitude
Pre May 16,X000594,COMPLETED,2003,30-44 Chetwynd Street WEST MELBOURNE VIC 3003,101966,5,0,144.9523847,-37.80708219
Pre May 16,X000058,COMPLETED,2007,271-285 Collins Street MELBOURNE VIC 3000,102086,11,0,144.9649787,-37.81654626
Pre May 16,X000067,COMPLETED,2003,McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000,102113,4,0,144.9558442,-37.81824449
Pre May 16,X000083,COMPLETED,2011,258-274 Collins Street MELBOURNE VIC 3000,102143,13,0,144.9648904,-37.81537999
Pre May 16,X001141,COMPLETED,2009,25 Enterprize Road WEST MELBOURNE VIC 3003,102179,2,0,144.9293874,-37.81616148
Pre May 16,X000116,COMPLETED,2011,20-26 Coromandel Place MELBOURNE VIC 3000,102197,16,0,144.9692548,-37.81302783
Pre May 16,X000516,COMPLETED,2012,La Trobe Close 13-39 Courtney Street NORTH MELBOURNE VIC 3051,102203,7,0,144.9535114,-37.8022174
Pre May 16,X000488,COMPLETED,2015,90-98 Curzon Street NORTH MELBOURNE VIC 3051,102370,3,0,144.9486062,-37.80180468
Pre May 16,X000946,COMPLETED,2003,143-151 Domain Road SOUTH YARRA VIC 3141,102499,3,0,144.9810994,-37.83420325
Pre May 16,X000604,COMPLETED,2005,104-128 Dudley Street WEST MELBOURNE VIC 3003,102960,10,0,144.9512713,-37.8092538
Pre May 16,X000624,COMPLETED,2012,442-452 Dynon Road WEST MELBOURNE VIC 3003,102997,2,0,144.9130748,-37.80083691
Pre May 16,X000643,COMPLETED,2004,457-469 Macaulay Road KENSINGTON VIC 3031,103033,4,0,144.9315297,-37.79485049
Pre May 16,X000079,COMPLETED,2007,97-103 Elizabeth Street MELBOURNE VIC 3000,103176,8,0,144.9634959,-37.81591904
Pre May 16,X000253,COMPLETED,2014,284-294 La Trobe Street MELBOURNE VIC 3000,103216,9,0,144.9608496,-37.81001419
Pre May 16,X000257,COMPLETED,2009,399-411 Elizabeth Street MELBOURNE VIC 3000,103218,5,0,144.9606404,-37.80955762
Pre May 16,X000405,COMPLETED,2009,536-542 Elizabeth Street MELBOURNE VIC 3000,103287,3,0,144.9596983,-37.80545065
